date,wind.direction,start.time,start.time.2,visibility.score
8/21/24,WSW,5:13,,NA
8/22/24,SW,5:14,,4
8/23/24,WNW,5:15,,4
8/24/24,W,5:16,,4
8/25/24,WSW,5:18,,4
8/28/24,SW,6:55,,3
8/29/24,N,5:22,,4
8/30/24,SE,5:23,,4
8/31/24,S,5:25,,4
9/2/24,NW,5:27,,4
9/3/24,WNW,5:29,,4
9/5/24,SW,5:30,,3
9/6/24,E,5:32,,4
9/7/24,NW,5:33,,3
9/9/24,W,5:35,,4
9/10/24,W,5:36,,4
9/11/24,NW,5:37,,4
9/12/24,WSW,5:38,,4
9/13/24,SW,5:40,,3
9/14/24,NNE,5:41,,4
9/16/24,SW,5:43,,4
9/17/24,NA,5:44,,3
9/18/24,NA,5:45,,4
9/19/24,NA,5:46,,4
9/20/24,NE,5:48,,4
9/22/24,NE,5:50,,4
9/23/24,NE,5:51,,4
9/24/24,NE,5:52,,4
9/25/24,WNW,5:54,,4
9/26/24,ESE,5:55,,4
9/27/24,WNW,6:26,,3
9/28/24,NNE,5:57,,3
9/29/24,NNE,5:58,,4
9/30/24,NW,5:59,,4
10/1/24,NE,6:00,,4
10/2/24,E,6:00,,4
10/3/24,SW,6:03,,4
10/4/24,ESE,6:04,,3
10/5/24,SSE,6:05,,4
10/6/24,NE,6:07,,4
10/7/24,SE,9:06,,2
10/8/24,NW,6:09,,4
10/9/24,SE,6:00,,4
10/10/24,NA,6:00,,4
10/11/24,WNW,6:13,,4
10/12/24,W,6:15,,4
10/13/24,WNW,6:15,,4
10/14/24,NE,6:37,,3
10/15/24,NE,6:18,,4
10/16/24,W,6:17,,4
10/17/24,NW,6:20,,4
10/18/24,N,6:35,,4
10/19/24,WSW,6:35,,4
10/20/24,W,6:24,,4
10/21/24,W,6:26,,4
10/22/24,NNE,6:27,,4
10/23/24,NA,6:30,,4
10/24/24,NW,6:30,,4
10/25/24,NNW,6:31,,4
10/26/24,WSW,6:32,,4
10/27/24,NW,6:33,,4
10/28/24,NW,6:35,,4
10/29/24,NNE,6:30,,4
10/30/24,S,6:38,,4
11/1/24,SW,6:41,,4
11/2/24,N,6:42,,4
11/3/24,NA,6:00,,4
11/4/24,NA,5:44,,NA
11/5/24,SW,6:15,,2
11/6/24,NA,5:47,,4
11/7/24,N,6:00,,3
11/8/24,SW,5:49,,4
11/9/24,NNW,5:50,,4
11/10/24,WSW,5:53,,4
11/12/24,NNE,5:55,,4
11/13/24,NA,6:00,,3
11/14/24,NNW,6:08,,4
11/15/24,NNW,6:00,,4
11/16/24,NA,6:34,,3
11/17/24,NA,6:02,,4
11/18/24,NW,6:03,,4
11/19/24,NW,6:04,,4
11/20/24,NNW,6:00,,4
11/21/24,NNE,6:00,,4
11/22/24,NA,NA,,NA
11/23/24,NNE,6:39,,3
11/24/24,WNW,6:11,,4
11/25/24,NW,12:20,,4
11/26/24,NNW,6:30,,4