sci.name,common.name,species,detection.days,num.years,total.count
Somateria mollissima,Common Eider,COEI,606,9,84089
Gavia immer,Common Loon,COLO,598,9,12401
Nannopterum auritum,Double-crested Cormorant,DCCO,576,9,178433
Morus bassanus,Northern Gannet,NOGA,569,9,45088
Melanitta perspicillata,Surf Scoter,SUSC,481,9,29955
Melanitta deglandi,White-winged Scoter,WWSC,454,9,7428
Melanitta americana,Black Scoter,BLSC,373,9,19429
Phalacrocorax carbo,Great Cormorant,GRCO,326,9,2157
Mergus serrator,Red-breasted Merganser,RBME,322,9,6015
Gavia stellata,Red-throated Loon,RTLO,301,9,3865
Clangula hyemalis,Long-tailed Duck,LTDU,249,9,8286
Cepphus grylle,Black Guillemot,BLGU,248,9,1583
Podiceps grisegena,Red-necked Grebe,RNGR,165,9,534
Alca torda,Razorbill,RAZO,87,9,423
Stercorarius parasiticus,Parasitic Jaeger,PAJA,30,6,41
Stercorarius pomarinus,Pomarine Jaeger,POJA,17,5,18
Uria aalge,Common Murre,COMU,13,5,22
Podiceps auritus,Horned Grebe,HOGR,8,5,9
Alle alle,Dovekie,DOVE,4,2,7
Uria lomvia,Thick-billed Murre,TBMU,4,1,4
Ardenna gravis,Great Shearwater,GRSH,2,2,2
Gavia pacifica,Pacific Loon,PALO,2,1,3
Stercorarius longicaudus,Long-tailed Jaeger,LTJA,1,1,1
Puffinus puffinus,Manx Shearwater,MASH,1,1,1
Oceanites oceanicus,Wilson's Storm-Petrel,WISP,1,1,1