species,total.indiv,
ABDU,949,
AGOL,266,
AGOS,3,
AGPL,1,
AMCR,316,
AMKE,6,
AMOY,1,
AMPI,26,
AMRE,2,
AMRO,23,
AMWI,14,
AMWO,4,
ATSP,2,
Accip. sp.,1,
Alcid sp.,206,
Anas sp.,61,
BAEA,112,
BAOR,1,
BARS,1,
BASA,1,
BBPL,18,
BCCH,165,
BEKI,5,
BLGU,1610,
BLJA,178,
BLKI,904,
BLPW,12,
BLSC,20086,
BLSC/SUSC,2404,
BLSK,5,
BOGU,113,
BOWA,3,
BRAN,9,
BRCR,6,
BUFF,30,
BWTE,7,
Blackbird sp.,3,
CACG,2,
CACG/CANG,1,
CANG,2802,
CASW,11,
CATE,174,
CEDW,177,
CHSP,1,
CHSW,1,
CMWA,3,
COEI,89372,
COGO,59,
COGR,66,
COHA,1,
COLO,13114,
COME,88,
COME/RBME,22,
COMU,22,
CORA,88,
COTE,55,
COYE,7,
Calidris sp.,20,
Cormorant sp.,6566,
DCCO,185324,
DEJU,16,
DOVE,7,
DOWO,11,
DUNL,2,
Duck sp.,11128,
EABL,5,
EAPH,3,
EATO,1,
Falcon sp.,7,
Finch sp.,10,
GADW,5,
GBHE,138,
GCKI,136,
GRCA,2,
GRCO,2178,
GREG,1,
GRSC,145,
GRSH,2,
GRYE,7,
GWFG,9,
GWTE,265,
Grebe sp.,2,
Gull sp.,42,
HADU,178,
HAWO,15,
HETH,3,
HOGR,9,
HOLA,11,
HOME,9,
ICGU,4,
ICGU/GLGU,10251,
Jaeger sp.,35,
KILL,1,
LAGU,774,
LBBG,12,
LESA,52,
LESC,16,
LEYE,3,
LISP,1,
LTDU,8690,
LTJA,1,
Loon sp.,1097,
MALL,85,
MALL/ABDU,27,
MALLxABDU,1,
MASH,1,
MAWA,2,
MERL,98,
Merganser sp.,2,
NOCA,2,
NOFL,35,
NOGA,45690,
NOHA,37,
NOPI,99,
New World Sparrow sp.,2,
New World Warbler sp.,101,
OSPR,26,
PAJA,42,
PALO,3,
PAWA,31,
PEFA,74,
PISI,335,
PIWO,10,
POJA,18,
PUFI,7,
PUSA,70,
Passerine sp.,88,
Peep sp.,123,
RAZO,435,
RBGU,2874,
RBME,6581,
RBNU,10,
RCKI,5,
RECR,3,
REVI,5,
REVI/PHVI,1,
RNDU,5,
RNGR,547,
RNPH,9,
RTHU,9,
RTLO,4008,
RUTU,3,
RWBL,6,
SAND,54,
SAVS,24,
SBDO,1,
SBDO/LBDO,1,
SEOW,1,
SEPL,36,
SESA,15,
SNBU,110,
SNGO,1,
SOSP,110,
SPSA,23,
SSHA,17,
SUSC,31366,
SWSP,8,
Scaup sp.,53,
Scoter sp.,44047,
Shearwater sp.,3,
Shorebird sp.,106,
Sterna sp.,1,
TBMU,4,
TBMU/COMU,2,
TUTI,1,
TUVU,1,
Tern sp.,22,
UNID. Raptor,1,
WBNU,1,
WHIM,19,
WISN,3,
WISP,1,
WIWR,1,
WODU,20,
WRSA,11,
WTSP,5,
WWCR,16,
WWSC,7773,
Waterbird sp.,203,
Waterfowl sp.,26,
Woodpecker sp.,1,
YBCH,1,
YEWA,1,
YRWA,302,